Word_HTML_Field,Pages,Category_Prefix,Suggested_Registry_Field,Match_Confidence,Notes
Subject_Rating,4,Subject,subject-rating,No Match,Not found in registry
Subject_ReportDepth,3,Subject,subject-reportdepth,No Match,Not found in registry
Subject_ReportType,"1,3",Subject,subject-reporttype,No Match,Not found in registry
Subject_Roof,4,Subject,subject-roof,No Match,Not found in registry
Subject_ST,"1,3",Subject,subject-st,No Match,Not found in registry
Subject_SaleHistory,3,Subject,subject-salehistory,No Match,Not found in registry
Subject_Security,4,Subject,subject-security,No Match,Not found in registry
Subject_Shape,4,Subject,subject-shape,No Match,Not found in registry
Subject_SiteConclusion,4,Subject,subject-siteconclusion,No Match,Not found in registry
Subject_SiteCoverageRatio,4,Subject,subject-sitecoverageratio,No Match,Not found in registry
Subject_SiteImpv,4,Subject,subject-siteimpv,No Match,Not found in registry
Subject_SiteInfo,4,Subject,subject-siteinfo,No Match,Not found in registry
Subject_Soils,4,Subject,subject-soils,No Match,Not found in registry
Subject_State,"1,4",Subject,subject-state,No Match,Not found in registry
Subject_Street,"1,3,4",Subject,subject-street,No Match,Not found in registry
Subject_Submarket,3,Subject,subject-submarket,No Match,Not found in registry
Subject_Subtype,1,Subject,subject-subtype,No Match,Not found in registry
Subject_Topography,4,Subject,subject-topography,No Match,Not found in registry
Subject_TotalAcre,4,Subject,subject-totalacre,No Match,Not found in registry
Subject_TotalSF,4,Subject,subject-totalsf,No Match,Not found in registry
Subject_UnitAmenities,4,Subject,subject-unitamenities,No Match,Not found in registry
Subject_WallsExt,4,Subject,subject-wallsext,No Match,Not found in registry
Subject_WallsInt,4,Subject,subject-wallsint,No Match,Not found in registry
Subject_YearBuilt,4,Subject,subject-yearbuilt,No Match,Not found in registry
Subject_Zoning,4,Subject,subject-zoning,No Match,Not found in registry
Subject_ZoningCode,4,Subject,subject-zoningcode,No Match,Not found in registry
Subject_ZoningConclusion,4,Subject,subject-zoningconclusion,No Match,Not found in registry
Subject_ZoningDef,4,Subject,subject-zoningdef,No Match,Not found in registry
Tax_History,4,Tax,tax-history,No Match,Not found in registry
W_ExistingProposed,4,W,w-existingproposed,No Match,Not found in registry
W_I.We,4,W,w-i.we,No Match,Not found in registry
W_My.Our,4,W,w-my.our,No Match,Not found in registry
W_Noun.s,3,W,w-noun.s,No Match,Not found in registry
W_ProposedYesNo,4,W,w-proposedyesno,No Match,Not found in registry
Zone_Summary,4,Zone,zone-summary,No Match,Not found in registry
